address,port
54.172.129.105,3333
52.21.154.145,3333
54.174.79.55,3333
52.31.186.94,3333
52.19.8.80,3333
52.18.177.202,3333
54.172.129.105,9500
52.21.154.145,9500
54.174.79.55,9500
52.31.186.94,9500
52.19.8.80,9500
52.18.177.202,9500
54.174.79.55,3333
52.21.154.145,3333
54.172.129.105,3333
52.31.186.94,3333
52.18.177.202,3333
52.19.8.80,3333
119.254.102.118,443
119.254.102.180,443
119.254.102.118,3333
119.254.102.180,3333
52.74.55.19,3333
178.62.205.21,4444
95.85.62.92,4444
104.131.15.86,4444
165.227.194.221,4444
178.62.205.21,4443
95.85.62.92,4443
104.131.15.86,4443
165.227.194.221,4443
165.227.194.221,4444
104.131.15.86,4444
165.227.194.221,4443
104.131.15.86,4443
178.62.205.21,4444
95.85.62.92,4444
178.62.205.21,4443
95.85.62.92,4443
52.88.164.98,3333
52.24.92.255,3333
52.88.164.98,443
52.24.92.255,443
52.88.164.98,25
52.24.92.255,25
60.205.164.237,8888
60.205.164.237,443
60.205.164.237,25
101.201.36.55,8008
101.201.36.55,443
101.201.36.55,25
120.77.55.196,8899
120.77.55.196,443
120.77.55.196,25
35.165.125.37,3333
52.41.235.52,3333
120.77.61.108,6099
120.77.61.108,443
120.77.61.108,25
116.211.168.132,8008
116.211.168.132,443
116.211.168.132,25
119.29.47.68,3333
119.29.47.68,25
119.29.47.68,8888
198.11.168.132,3333
198.11.168.132,25
198.11.168.132,8888
118.178.149.200,3357
139.224.6.22,8008
139.224.6.22,8008
139.224.6.102,8008
120.55.226.251,3333
120.55.226.251,8888
120.55.226.251,25
120.55.226.251,3333
54.64.97.77,3333
54.64.97.77,443
54.64.97.77,25
114.55.3.82,3333
114.55.3.82,3334
121.43.77.145,3333
121.43.77.145,2015
101.201.172.235,8888
101.201.172.235,8889
114.55.79.171,8008
114.55.79.171,8080
120.55.29.131,8080
120.55.29.131,8008
120.25.128.33,3333
120.77.125.70,3333
47.89.164.11,3333
47.89.164.11,25
47.89.164.11,443
47.89.133.41,3333
47.89.133.41,25
47.89.133.41,443
60.205.146.222,3333
60.205.146.217,3333
60.205.146.151,3333
60.205.146.222,443
60.205.146.217,443
60.205.146.151,443
60.205.146.222,25
60.205.146.217,25
60.205.146.151,25
47.89.133.88,1800
47.89.133.88,443
47.89.133.88,25
60.205.132.209,1800
60.205.122.75,1800
60.205.132.209,443
60.205.122.75,443
60.205.132.209,25
60.205.122.75,25
119.23.117.231,1800
119.23.117.231,443
119.23.117.231,25
47.91.65.135,1800
47.91.65.135,443
47.91.65.135,25
52.2.83.37,3333
52.26.114.78,3333
37.235.49.165,3333
47.91.65.91,3333
47.88.65.29,3333
113.21.199.11,3333
74.84.128.158,3333
88.99.146.100,3333
88.99.146.100,443
45.59.68.74,3333
45.59.68.74,443
45.59.68.74,3334
45.59.68.74,3335
45.76.68.6,3333
45.76.68.6,3333
45.76.68.6,81
45.76.68.6,443
45.76.68.6,8080
104.238.236.248,27181
107.191.60.255,3333
107.191.60.255,80
107.191.60.255,81
107.191.60.255,443
107.191.60.255,8080
45.32.185.251,3333
45.32.185.251,80
45.32.185.251,81
45.32.185.251,443
45.32.185.251,8080
45.32.112.81,3333
45.32.112.81,80
45.32.112.81,81
45.32.112.81,443
45.32.112.81,8080
60.205.132.187,3333
120.77.130.118,3333
149.210.234.234,3333
88.80.187.187,3333
104.236.57.24,3333
158.69.196.61,3333
23.92.25.116,3333
104.236.136.96,3333
194.58.122.146,9896
194.58.122.146,9897
194.58.122.146,7915
194.58.122.146,7900
194.58.122.146,7990
194.58.122.146,9920
194.58.122.146,9620
194.58.122.146,7910
158.69.246.183,4444
192.95.30.210,4444
149.56.26.221,4444
158.69.246.183,14444
192.95.30.210,14444
149.56.26.221,14444
45.79.103.105,4444
173.230.147.186,4444
45.79.103.105,14444
173.230.147.186,14444
91.121.167.111,4444
46.105.121.53,4444
51.255.64.43,4444
94.23.28.180,4444
188.165.209.115,4444
188.165.226.213,4444
94.23.36.128,4444
188.165.220.188,4444
188.165.239.100,4444
91.121.167.111,14444
46.105.121.53,14444
51.255.64.43,14444
94.23.28.180,14444
188.165.209.115,14444
188.165.226.213,14444
94.23.36.128,14444
188.165.220.188,14444
188.165.239.100,14444
139.99.9.157,4444
139.99.9.175,4444
139.99.8.158,4444
139.99.8.222,4444
139.99.9.157,14444
139.99.9.175,14444
139.99.8.158,14444
139.99.8.222,14444
37.187.56.197,4444
94.23.45.111,4444
37.187.56.197,14444
94.23.45.111,14444
158.69.247.200,4444
158.69.247.200,14444
94.23.60.113,3333
94.23.12.63,3333
94.23.20.210,3333
188.165.195.21,3333
94.23.199.191,3333
94.23.60.113,13333
94.23.12.63,13333
94.23.20.210,13333
188.165.195.21,13333
94.23.199.191,13333
116.211.167.195,3333
218.11.0.223,3333
116.211.167.195,13333
218.11.0.223,13333
139.99.8.65,3333
139.99.8.65,13333
192.99.33.207,3333
192.99.160.185,3333
192.99.33.207,13333
192.99.160.185,13333
164.132.108.171,9999
185.71.66.38,9999
213.32.74.157,9999
213.32.74.230,9999
198.251.88.37,9999
213.32.74.219,9999
164.132.109.110,9999
164.132.108.171,8888
185.71.66.38,8888
213.32.74.157,8888
213.32.74.230,8888
198.251.88.37,8888
213.32.74.219,8888
164.132.109.110,8888
79.137.82.70,9999
92.222.180.118,9999
198.251.88.21,9999
79.137.82.70,8888
92.222.180.118,8888
198.251.88.21,8888
142.44.242.100,9999
192.99.69.170,9999
142.44.243.6,9999
142.44.242.100,8888
192.99.69.170,8888
142.44.243.6,8888
45.76.65.223,9999
45.63.61.87,9999
45.32.71.82,9999
45.76.65.223,8888
45.63.61.87,8888
45.32.71.82,8888
139.99.9.146,9999
139.99.9.173,9999
103.3.62.64,9999
139.99.9.106,9999
139.99.9.146,8888
139.99.9.173,8888
103.3.62.64,8888
139.99.9.106,8888
185.71.66.31,19999
185.71.66.31,18888
207.154.213.72,19999
92.222.180.118,19999
207.154.194.32,19999
198.251.88.21,19999
79.137.82.70,19999
207.154.213.72,18888
92.222.180.118,18888
207.154.194.32,18888
198.251.88.21,18888
79.137.82.70,18888
142.44.243.6,19999
142.44.242.100,19999
192.99.69.170,19999
142.44.243.6,18888
142.44.242.100,18888
192.99.69.170,18888
45.63.61.87,19999
45.76.65.223,19999
45.32.71.82,19999
45.63.61.87,18888
45.76.65.223,18888
45.32.71.82,18888
139.99.9.173,19999
139.99.9.146,19999
139.99.9.106,19999
103.3.62.64,19999
139.99.9.173,18888
139.99.9.146,18888
139.99.9.106,18888
103.3.62.64,18888
92.222.180.119,6666
79.137.82.104,6666
159.89.11.225,6666
198.251.88.37,6666
185.71.66.20,6666
92.222.180.119,16666
79.137.82.104,16666
159.89.11.225,16666
198.251.88.37,16666
185.71.66.20,16666
198.251.88.37,6666
159.89.11.225,6666
207.154.213.72,6666
198.251.88.21,6666
79.137.82.70,6666
207.154.194.32,6666
92.222.180.118,6666
198.251.88.37,16666
159.89.11.225,16666
207.154.213.72,16666
198.251.88.21,16666
